,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,Gas A,Gas B,
1,0.989,0.997,1.007,1.013,1.031,0.977,1.007,1.041,0.968,0.961,75,0,1
2,0.99,0.995,1.01,1.019,1.045,0.97,1.032,1.082,0.989,0.954,75,0,1
3,0.989,0.994,1.013,1.026,1.065,0.966,1.067,1.137,1.037,0.967,75,0,1
4,0.988,0.992,1.018,1.036,1.09,0.966,1.116,1.205,1.105,1.007,75,0,1
5,0.986,0.991,1.024,1.047,1.117,0.973,1.168,1.298,1.2,1.059,75,0,1
6,0.985,0.991,1.029,1.058,1.142,0.979,1.225,1.407,1.295,1.125,75,0,1
7,0.985,0.992,1.036,1.068,1.166,0.993,1.284,1.527,1.421,1.211,75,0,1
8,0.983,0.994,1.042,1.077,1.19,1.005,1.344,1.653,1.547,1.289,75,0,1
9,0.983,0.995,1.049,1.086,1.211,1.018,1.404,1.798,1.7,1.368,75,0,1
10,0.984,0.997,1.055,1.095,1.231,1.032,1.463,1.943,1.832,1.454,75,0,1
11,0.985,0.998,1.063,1.102,1.25,1.046,1.526,2.087,1.979,1.553,75,0,1
12,0.985,1,1.07,1.11,1.269,1.057,1.589,2.227,2.084,1.625,75,0,1
13,0.987,1.001,1.076,1.117,1.284,1.071,1.649,2.372,2.226,1.711,75,0,1
14,0.987,1.003,1.083,1.124,1.301,1.084,1.712,2.514,2.347,1.789,75,0,1
15,0.988,1.005,1.09,1.13,1.315,1.098,1.775,2.656,2.468,1.875,75,0,1
16,0.988,1.007,1.096,1.136,1.328,1.112,1.835,2.79,2.589,1.961,75,0,1
17,0.989,1.01,1.102,1.142,1.34,1.125,1.895,2.932,2.721,2.059,75,0,1
18,0.99,1.012,1.11,1.147,1.352,1.141,1.954,3.066,2.816,2.138,75,0,1
19,0.993,1.014,1.117,1.153,1.363,1.157,2.011,3.191,2.905,2.243,75,0,1
20,0.994,1.017,1.123,1.158,1.376,1.173,2.067,3.311,3.021,2.322,75,0,1
21,0.995,1.02,1.129,1.162,1.388,1.189,2.123,3.434,3.132,2.401,75,0,1
22,0.997,1.022,1.135,1.167,1.398,1.205,2.175,3.549,3.216,2.454,75,0,1
23,0.998,1.025,1.141,1.171,1.409,1.221,2.228,3.658,3.311,2.546,75,0,1
24,0.998,1.028,1.147,1.175,1.418,1.235,2.281,3.768,3.416,2.612,75,0,1
25,1,1.031,1.153,1.179,1.426,1.248,2.333,3.877,3.505,2.678,75,0,1
26,1.001,1.033,1.159,1.183,1.435,1.262,2.382,3.97,3.579,2.743,75,0,1
27,1.003,1.035,1.165,1.187,1.444,1.276,2.432,4.068,3.674,2.829,75,0,1
28,1.005,1.038,1.17,1.191,1.453,1.289,2.481,4.161,3.753,2.901,75,0,1
29,1.007,1.04,1.176,1.194,1.463,1.303,2.526,4.251,3.826,2.974,75,0,1
30,1.008,1.042,1.182,1.198,1.47,1.317,2.572,4.336,3.905,3.039,75,0,1
31,1.009,1.045,1.187,1.201,1.477,1.33,2.618,4.426,3.979,3.105,75,0,1
32,1.01,1.047,1.193,1.204,1.484,1.344,2.663,4.505,4.058,3.151,75,0,1
33,1.01,1.05,1.198,1.207,1.491,1.355,2.709,4.582,4.132,3.204,75,0,1
34,1.01,1.052,1.203,1.21,1.496,1.369,2.754,4.656,4.211,3.257,75,0,1
35,1.01,1.055,1.208,1.213,1.505,1.383,2.796,4.73,4.258,3.309,75,0,1
36,1.01,1.057,1.213,1.215,1.512,1.399,2.839,4.801,4.321,3.349,75,0,1
37,1.011,1.06,1.218,1.218,1.516,1.415,2.881,4.869,4.384,3.395,75,0,1
38,1.012,1.062,1.223,1.22,1.522,1.428,2.919,4.945,4.463,3.434,75,0,1
